Date,GPUID,Username,Percent_Usage
2020-07-01,0,abiswas,50.8
2020-07-01,0,asanyanga,14.6
2020-07-01,0,sabramowitz,13.3
2020-07-01,0,null,0.0
2020-07-01,0,nbotha,9.2
2020-07-01,0,rchitongo,2.9
2020-07-02,0,fbadichiakher1,38.3
2020-07-02,0,abiswas,29.6
2020-07-02,0,nagrawal,13.7
2020-07-02,0,null,0.0
2020-07-02,0,lstrydom,5.0
2020-07-02,0,nbotha,4.6
2020-07-03,0,evanderwesthuizen,59.2
2020-07-03,0,nagrawal,36.2
2020-07-03,0,rlazar,3.3
2020-07-03,0,null,0.0
2020-07-04,0,rlazar,68.8
2020-07-04,0,ltoledo,19.2
2020-07-04,0,asanyanga,12.1
2020-07-05,0,aissahaku,49.2
2020-07-05,0,afarrokhzadeh,36.2
2020-07-05,0,ltoledo,14.6
2020-07-06,0,nagrawal,83.3
2020-07-06,0,ntembe,12.5
2020-07-06,0,null,0.0
2020-07-06,0,aissahaku,0.8
2020-07-07,0,rlazar,78.3
2020-07-07,0,null,0.0
2020-07-07,0,smaphumulo,9.2
2020-07-08,0,lstrydom,55.0
2020-07-08,0,ffarinre,14.6
2020-07-08,0,smaphumulo,11.7
2020-07-08,0,nwilkinson,11.7
2020-07-08,0,null,0.0
2020-07-09,0,hothman,42.5
2020-07-09,0,ffarinre,35.4
2020-07-09,0,smaphumulo,21.2
2020-07-09,0,null,0.0
2020-07-10,0,rlazar,50.0
2020-07-10,0,hothman,30.0
2020-07-10,0,null,0.0
2020-07-10,0,ltoledo,6.7
2020-07-10,0,lstrydom,0.8
2020-07-11,0,hothman,34.6
2020-07-11,0,evanderwesthuizen,27.9
2020-07-11,0,wveldman,12.9
2020-07-11,0,null,0.0
2020-07-11,0,ltoledo,11.7
2020-07-11,0,abiswas,1.2
2020-07-12,0,wveldman,87.5
2020-07-12,0,null,0.0
2020-07-13,0,osoremekun,60.0
2020-07-13,0,mabdullahi,20.0
2020-07-13,0,null,0.0
2020-07-13,0,nwilkinson,8.3
2020-07-13,0,lstrydom,3.3
2020-07-14,0,tntombela,32.5
2020-07-14,0,wveldman,28.3
2020-07-14,0,rkumi,25.0
2020-07-14,0,hothman,11.7
2020-07-14,0,nwilkinson,2.1
2020-07-14,0,null,0.0
2020-07-15,0,wveldman,50.0
2020-07-15,0,hothman,21.7
2020-07-15,0,ntembe,12.5
2020-07-15,0,null,0.0
2020-07-15,0,sabramowitz,5.0
2020-07-16,0,skarimzadeh,45.8
2020-07-16,0,mabdullahi,20.0
2020-07-16,0,null,0.0
2020-07-16,0,wveldman,7.9
2020-07-16,0,ltoledo,6.2
2020-07-16,0,lstrydom,5.0
2020-07-16,0,sabramowitz,0.8
2020-07-17,0,wveldman,42.5
2020-07-17,0,nwilkinson,21.7
2020-07-17,0,gmunsamy,16.2
2020-07-17,0,ntembe,12.1
2020-07-17,0,null,0.0
2020-07-18,0,nwilkinson,42.9
2020-07-18,0,hothman,35.4
2020-07-18,0,null,0.0
2020-07-18,0,kbisetty,0.4
2020-07-19,0,rlazar,65.8
2020-07-19,0,hothman,32.1
2020-07-19,0,null,0.0
2020-07-19,0,folotu,0.4
2020-07-20,0,nwilkinson,42.5
2020-07-20,0,rlazar,34.2
2020-07-20,0,wveldman,23.3
2020-07-21,0,sndlovu,90.4
2020-07-21,0,nwilkinson,9.2
2020-07-21,0,null,0.0
